IDSTUD;ITSEX;IDBOOK;ASBG01;ASBG03;ASBG04;ASBG05A;ASBG05B;ASBG05C;ASBG05D;ASBG05E;ASBG05F;ASBG05G;ASBG05H;ASBG05I;ASBG05J;ASBG05K;ASBG06;ASBG07A;ASBG07B;ASBG08A;ASBG08B;ASBG09A;ASBG09B;ASBG09C;ASBG09D;ASBG09E;ASBG09F;ASBG09G;ASBG09H;ASBG10A;ASBG10B;ASBG10C;ASBG10D;ASBG10E;ASBG10F;ASBG11A;ASBG11B;ASBG11C;ASBG11D;ASBG11E;ASBG11F;ASBG11G;ASBG11H;ASBG11I;ASBG11J;ASBR01A;ASBR01B;ASBR01C;ASBR01D;ASBR01E;ASBR01F;ASBR01G;ASBR01H;ASBR01I;ASBR02A;ASBR02B;ASBR02C;ASBR02D;ASBR02E;ASBR03A;ASBR03B;ASBR03C;ASBR04;ASBR05;ASBR06A;ASBR06B;ASBR07A;ASBR07B;ASBR07C;ASBR07D;ASBR07E;ASBR07F;ASBR07G;ASBR07H;ASBR08A;ASBR08B;ASBR08C;ASBR08D;ASBR08E;ASBR08F;ASDAGE;TOTWGT;SENWGT;JKREP;JKZONE;ASRREA01;ASRREA02;ASRREA03;ASRREA04;ASRREA05;ASRLIT01;ASRLIT02;ASRLIT03;ASRLIT04;ASRLIT05;ASRINF01;ASRINF02;ASRINF03;ASRINF04;ASRINF05;ASRIIE01;ASRIIE02;ASRIIE03;ASRIIE04;ASRIIE05;ASRRSI01;ASRRSI02;ASRRSI03;ASRRSI04;ASRRSI05;ASRIBM01;ASRIBM02;ASRIBM03;ASRIBM04;ASRIBM05
51290103;1;9;1;3;2;2;1;2;2;2;2;2;2;2;2;2;5;1;1;3;9;3;4;4;3;2;2;4;1;1;1;2;1;1;1;3;4;3;3;4;4;3;4;3;4;4;2;3;3;2;3;2;1;1;2;3;3;3;2;2;1;2;1;2;2;2;1;2;4;1;2;1;2;3;3;2;2;2;4;2;11;13.611244;0.085344;0;80;427.66363;337.08515;361.31699;326.69381;328.39773;308.58067;359.97227;361.04484;346.56196;397.23406;303.45408;328.38099;361.61919;357.89039;375.58286;308.89963;411.99932;324.14686;308.2776;346.00998;308.22335;414.07842;346.03456;310.44976;388.07827;2;1;1;1;1
51290104;1;16;1;4;3;2;1;1;1;2;2;2;2;2;1;2;1;2;9;2;2;4;3;3;2;1;4;4;1;1;1;1;1;1;1;2;4;4;4;2;4;4;4;4;4;1;1;2;2;1;1;1;1;1;9;4;3;4;3;2;1;1;1;2;4;1;2;2;4;3;2;1;1;2;2;3;1;3;3;3;10.58;13.611244;0.085344;0;80;432.98858;455.27405;414.7204;437.94751;428.18761;441.0679;459.12704;467.58063;435.74528;436.10128;445.49368;464.71779;481.36327;440.02052;424.78869;424.97256;425.95369;450.7657;465.36572;444.67735;445.63728;465.77284;470.7406;458.92252;447.49952;2;2;2;2;2
51290105;2;1;2;1;3;2;1;1;1;1;1;1;2;2;1;2;5;1;9;1;1;1;1;1;2;2;1;1;1;4;3;3;2;2;1;2;4;4;4;4;3;4;4;4;4;3;2;1;2;2;3;3;2;2;4;4;3;3;2;1;2;2;4;1;4;4;4;2;2;4;3;2;3;2;2;2;3;4;4;4;9.75;13.611244;0.085344;0;80;572.57668;616.92694;555.60713;574.35006;594.33011;552.73164;554.95584;634.9785;556.91632;608.61104;606.0684;589.36149;625.85705;608.76809;616.64892;609.4899;540.45986;566.12464;553.29027;572.37664;546.82852;549.0375;545.11184;533.50044;526.77753;4;4;4;4;4
51290106;2;2;2;1;3;1;1;1;2;1;2;1;1;1;2;1;5;1;3;2;2;1;2;2;3;2;4;4;4;3;2;2;1;2;1;3;4;3;4;4;4;4;4;4;4;2;2;1;2;1;2;1;1;1;3;2;2;3;3;1;1;3;1;2;1;1;2;3;4;2;2;3;3;1;2;2;1;4;4;4;10.83;13.611244;0.085344;0;80;520.06509;490.15331;511.41829;509.50259;526.68009;497.83012;538.64715;478.76098;483.37938;538.83652;445.63545;494.39038;483.8387;488.13303;505.20316;544.59787;532.39373;534.20642;507.07804;499.23449;564.65145;532.64399;565.08562;527.62073;498.97612;3;3;3;3;3
51290107;1;3;1;1;3;1;1;1;1;1;1;1;1;2;1;2;5;2;3;2;3;1;1;2;2;1;1;2;1;2;2;1;1;2;1;3;3;4;4;4;3;4;3;4;4;2;2;1;1;2;2;2;1;2;4;3;4;4;4;2;2;3;4;1;2;3;3;2;4;2;2;1;2;1;1;1;3;4;4;4;10.75;13.611244;0.085344;0;80;554.67957;633.4329;576.45447;613.8703;633.22093;661.42678;616.40578;598.76034;596.77209;642.3406;613.09234;574.46152;576.36331;580.45568;595.49416;586.0305;593.42633;629.32201;571.89452;608.98828;565.26279;572.01489;587.82878;547.66634;589.08137;4;5;4;4;5
51290108;1;17;1;3;4;2;1;1;2;2;1;2;2;2;1;2;5;3;3;1;1;2;1;2;1;1;2;1;2;1;1;1;1;1;1;3;4;3;4;4;3;4;4;4;4;2;2;2;1;2;1;2;1;1;4;4;4;4;4;1;1;4;1;3;2;1;2;1;4;1;1;1;1;1;2;1;4;4;4;4;9.92;13.611244;0.085344;0;80;557.84378;568.92428;549.3344;526.26466;508.33252;559.24712;540.4613;531.01146;549.72036;509.18938;616.92224;532.2515;528.29825;560.27931;536.72596;569.65031;567.27731;535.98206;571.77566;456.97081;570.56942;636.9428;577.50317;612.66121;505.0332;4;4;3;3;3
51290109;2;18;2;2;1;2;1;2;1;2;2;1;1;2;2;2;3;3;4;3;3;1;1;1;3;1;1;1;1;2;1;1;1;1;1;2;4;4;4;4;4;4;4;4;4;3;3;3;2;1;1;3;1;1;3;3;9;4;4;1;1;2;4;4;3;1;3;3;3;3;3;1;1;1;1;1;3;4;4;4;10.67;13.611244;0.085344;0;80;571.36009;551.96011;553.62519;547.94778;526.99282;570.94404;542.7769;519.75856;566.71974;582.76909;578.4053;556.11009;518.80381;582.354;583.97356;571.22066;573.40236;657.36246;609.79633;556.0708;608.77535;550.48669;673.38449;606.12338;554.14128;4;4;4;3;3
51290110;2;4;2;1;3;1;1;1;1;2;1;1;1;1;1;1;4;1;3;3;1;1;1;1;1;1;2;1;1;2;1;1;1;2;1;2;2;2;4;4;2;3;2;4;4;1;1;1;1;1;2;3;1;1;3;1;2;1;1;2;1;3;2;2;1;3;1;2;1;3;1;1;2;1;1;1;9;1;2;4;9.83;13.611244;0.085344;0;80;537.83437;526.93258;550.37754;530.49218;546.50618;500.00846;512.63994;532.80819;572.50358;534.05498;509.45102;525.16187;491.13233;538.48256;533.97313;519.37263;471.50592;526.45305;545.35931;569.77673;538.12219;468.0525;526.7;524.7614;529.88874;3;3;4;3;3
51290112;2;6;2;1;4;1;1;1;1;1;1;1;1;1;2;2;4;2;3;1;1;1;1;1;3;1;1;1;1;9;1;1;1;1;1;4;3;4;4;4;4;4;4;4;4;1;1;1;1;2;2;2;2;2;3;3;4;3;3;1;1;9;4;2;1;1;3;1;4;3;2;1;2;1;1;1;4;4;4;4;10.67;13.611244;0.085344;0;80;602.20847;581.01151;606.05141;610.09163;642.62954;587.10838;578.21871;598.55147;594.62323;620.51986;610.62985;593.07677;581.088;583.23136;594.57166;597.67725;616.03445;644.6137;574.86357;572.26423;596.9851;616.2159;643.29007;608.38453;592.06488;4;4;4;4;5
51290113;1;10;1;1;3;2;1;1;1;2;2;1;1;2;1;2;5;1;2;2;3;2;9;2;3;2;1;1;1;2;2;1;4;1;1;3;4;3;3;4;4;4;3;4;4;2;1;2;2;2;3;1;1;1;3;4;3;3;3;1;1;2;4;1;2;2;3;3;3;3;2;2;3;3;2;2;2;3;4;3;10.5;13.611244;0.085344;0;80;552.42663;578.68318;525.78414;583.04815;545.89682;641.84838;618.62977;610.06551;554.15871;605.7143;599.76217;619.10246;597.7811;546.83178;596.07316;564.93834;583.13672;557.25282;554.66934;591.36793;585.542;624.06607;578.15161;575.15568;595.67991;4;4;3;4;3
51290115;2;11;2;3;9;1;2;2;1;2;2;1;1;2;2;2;5;1;3;3;3;1;1;1;2;1;1;1;1;1;2;1;2;1;1;4;4;3;1;1;4;4;4;4;4;1;1;1;1;1;1;1;1;1;1;3;4;4;2;1;1;4;4;2;1;1;1;1;4;9;1;1;1;1;1;1;4;4;4;4;10.83;13.611244;0.085344;0;80;519.29579;561.77683;490.54615;488.64325;486.46686;520.38933;482.04682;500.21406;542.32118;510.17814;525.77636;473.69911;488.6637;529.30833;508.03713;515.46252;512.72908;488.44752;472.58991;500.06088;515.50018;530.37348;490.17182;451.94067;502.11246;3;4;3;3;3
51290116;2;12;2;1;4;2;1;1;1;2;1;1;1;1;1;2;5;1;9;1;1;1;2;1;2;3;1;1;1;1;1;1;1;1;1;1;4;2;4;3;2;1;4;4;4;1;1;1;1;1;2;1;1;2;3;2;2;4;3;1;2;3;4;3;2;1;2;2;4;3;1;1;1;1;1;1;2;4;3;3;10.83;13.611244;0.085344;0;80;620.99651;598.52344;620.83017;586.10589;585.37392;582.51742;590.59861;559.62102;570.92857;599.79311;628.72552;617.44635;559.54673;597.48112;625.16406;617.08691;571.80982;535.54003;554.62808;577.30578;616.44727;614.19185;557.3198;594.96615;598.88846;4;4;4;4;4
51290117;1;13;1;2;3;2;1;1;1;2;1;1;1;2;1;2;1;3;4;1;3;1;2;2;4;2;2;3;2;2;1;1;1;1;1;4;4;4;4;4;4;4;4;4;4;1;1;1;1;1;1;1;1;1;2;4;3;4;4;1;2;2;3;1;2;2;3;2;3;2;2;2;3;4;2;1;4;3;3;3;10.25;13.611244;0.085344;0;80;549.48377;477.98054;511.88831;559.59614;490.56734;507.04176;470.99246;497.5311;509.73353;534.5831;481.96337;497.04968;497.67968;490.33218;528.3934;492.96865;532.01254;478.87005;543.35096;535.52304;513.41038;547.7021;500.50793;562.50946;534.56402;3;3;3;4;3
51290118;2;8;2;3;1;2;1;1;1;2;1;1;2;2;2;2;9;2;2;1;3;2;3;1;4;3;2;3;3;2;1;1;1;1;1;3;4;4;4;4;4;4;4;4;4;1;2;1;1;1;1;1;1;1;2;3;3;4;4;1;2;2;3;1;1;1;2;1;3;2;2;1;3;4;2;1;2;2;4;3;10.92;13.611244;0.085344;0;80;501.58767;482.78333;439.32852;535.68153;546.41213;479.55421;534.36264;481.14184;501.20223;523.14086;484.80954;513.577;502.72416;476.21678;473.41408;479.19648;436.7542;530.58754;512.34601;511.60097;480.32432;449.40788;528.23065;492.22783;491.50338;3;3;2;3;3
51290119;1;9;1;3;2;1;1;2;1;1;1;1;1;1;2;2;5;1;1;2;3;1;2;2;3;2;4;2;1;1;1;2;4;1;1;2;4;2;3;4;3;4;4;4;4;1;1;2;1;1;2;3;1;1;3;1;2;2;3;1;2;3;1;1;1;2;3;1;4;1;1;2;2;1;2;1;2;4;4;3;10.5;13.611244;0.085344;0;80;424.00237;425.69121;442.11962;424.00618;442.23478;449.33946;477.21517;442.5528;385.56335;413.46922;432.08067;456.40325;420.79196;379.45209;443.38078;483.62063;471.71202;426.42263;427.63696;483.45873;422.10543;430.99874;385.1851;389.3605;420.89108;2;2;2;2;2
51290120;2;14;2;1;4;1;1;1;1;2;2;1;1;2;1;1;5;1;3;1;3;1;1;1;1;1;1;2;1;1;1;1;1;1;1;1;3;1;4;1;1;4;3;2;4;1;2;1;2;2;1;1;1;1;3;1;1;2;3;1;1;4;4;2;1;3;3;2;3;2;1;2;3;2;1;1;3;4;4;3;10.17;13.611244;0.085344;0;80;569.07977;520.5662;516.8194;561.90779;565.50137;570.8151;512.31441;535.89913;553.65054;530.46303;587.19651;573.74381;538.55966;578.58313;602.44226;542.82917;572.16554;613.07413;554.2051;609.06347;547.04286;555.50996;619.74382;575.27988;612.77573;4;3;3;4;4
51290121;1;15;1;1;3;1;1;1;1;2;2;1;2;2;1;1;5;1;3;2;1;1;1;2;3;2;2;2;1;2;1;2;1;2;1;4;3;4;3;4;4;3;3;4;4;1;1;1;1;2;1;2;2;2;3;2;1;2;2;1;2;2;4;2;1;2;2;2;4;2;1;1;2;1;2;1;2;4;4;4;9.75;13.611244;0.085344;0;80;563.4775;610.74746;568.75358;622.4014;560.12226;617.55486;557.27533;675.98154;643.73031;620.08282;616.88001;539.4121;650.25805;600.0001;609.63713;607.81747;674.21746;613.79397;586.67903;542.97147;611.95411;673.95046;627.13592;609.6513;562.62442;4;4;4;4;4
51290201;1;16;1;3;9;1;1;2;1;2;1;1;1;2;1;2;5;3;3;2;2;1;1;1;2;1;1;2;1;1;1;1;1;1;1;4;4;2;4;4;1;4;4;2;4;1;1;2;2;1;1;1;1;1;9;3;4;3;4;2;4;1;4;2;2;2;1;1;4;2;1;2;1;1;2;1;2;3;4;3;11.17;13.492886;0.084602;0;80;492.27741;488.40077;513.62125;522.44369;509.80674;487.79229;521.50039;536.12066;538.56416;515.68033;497.18509;489.19325;491.14345;511.46711;497.83145;522.36393;494.87868;502.51642;482.09341;476.17492;540.41716;501.32926;501.44858;494.30967;476.68305;3;3;3;3;3
51290202;1;17;1;2;4;2;1;1;1;2;1;1;1;1;1;1;4;2;3;2;3;1;3;1;2;2;1;1;1;3;2;3;2;3;2;1;1;1;4;4;1;1;2;2;1;2;1;1;1;3;1;2;1;3;2;2;1;1;1;1;2;1;4;2;2;1;1;1;4;1;1;1;1;1;1;1;4;4;4;4;10;13.492886;0.084602;0;80;549.82929;509.01923;579.63349;576.68275;588.73838;569.46549;621.34228;561.81236;570.57837;588.89951;529.25484;588.59448;535.322;555.81069;581.82721;565.15135;561.3751;572.91153;550.04563;591.55645;585.65333;582.01779;593.83121;550.22125;632.35145;3;3;4;4;4
51290203;2;1;2;2;4;1;1;1;1;1;2;2;1;2;1;2;5;3;3;1;2;2;3;1;2;3;1;2;3;2;1;1;2;1;1;2;2;3;4;4;3;4;4;4;4;2;2;2;1;2;2;1;1;2;4;3;2;4;4;2;3;2;2;1;2;2;3;2;3;2;2;2;3;1;1;1;2;3;3;4;9.92;13.492886;0.084602;0;80;628.12282;573.03709;598.09606;622.31775;646.60202;646.91269;656.33974;631.37166;627.66773;613.52089;621.11283;637.038;681.20423;654.97458;612.01416;662.77903;655.7697;566.45215;659.4783;668.52554;644.36522;668.53429;572.74329;639.44295;647.62771;5;4;4;4;5
51290204;2;18;2;1;5;2;1;1;1;2;1;1;1;1;2;1;5;1;1;3;3;1;1;1;1;1;1;4;1;4;4;1;1;4;1;1;1;1;1;1;1;1;4;4;1;4;3;4;1;2;1;1;1;1;1;1;2;1;1;4;1;1;4;4;4;4;4;4;1;4;4;4;4;4;1;1;4;4;4;4;10.58;13.492886;0.084602;0;80;490.48184;570.3137;528.97292;512.15818;523.17717;499.83942;546.32428;511.68983;594.45972;496.63232;484.40093;572.81948;505.93548;567.94063;515.68772;515.02093;525.48298;587.85749;524.51794;584.59235;536.10933;544.76902;637.34156;544.59239;585.79046;3;4;3;3;3
51290205;2;2;2;1;5;1;1;1;1;2;2;2;1;2;1;1;5;1;3;2;3;1;3;1;2;1;2;2;1;3;3;1;2;2;9;3;2;2;4;4;2;3;4;4;3;3;2;1;4;2;2;3;1;1;3;2;1;3;4;1;2;1;4;3;1;3;3;2;4;1;1;2;1;1;1;1;4;4;4;4;10.25;13.492886;0.084602;0;80;633.82056;645.55197;687.73758;635.71785;682.17639;616.1906;651.45182;624.19099;658.04884;623.48727;634.68634;635.34184;660.84903;664.57497;622.85914;594.16773;651.85468;614.57288;623.24869;612.10606;634.91492;631.61957;648.7347;663.53184;634.84572;5;5;5;5;5
51290206;2;3;2;3;9;1;2;1;1;2;2;1;1;1;2;2;5;3;3;1;3;1;2;1;3;2;1;1;1;1;2;1;2;1;1;2;2;1;1;4;1;3;1;1;1;2;2;1;4;1;2;3;1;1;3;2;1;3;4;1;1;1;4;2;2;1;3;2;2;3;2;1;1;1;1;1;2;4;4;4;10.58;13.492886;0.084602;0;80;502.38577;500.64102;515.64744;510.29055;503.93613;511.23102;530.71996;553.2131;514.18131;542.59699;504.09687;492.73765;496.25337;511.47532;478.80129;512.75771;535.24754;503.68879;474.2035;579.41613;533.2425;541.72431;521.69729;473.68127;587.83619;3;3;3;3;3
51290208;2;4;2;1;3;1;1;2;1;1;1;1;2;2;2;2;5;1;4;3;2;1;1;2;2;1;1;4;1;1;1;1;1;1;1;4;4;4;4;4;4;4;4;4;4;2;1;1;1;1;1;1;1;1;4;1;1;1;1;9;9;1;1;4;1;1;9;1;4;1;1;1;1;1;9;1;3;4;4;4;10.92;13.492886;0.084602;0;80;428.37614;425.26884;407.254;484.90491;443.52273;404.68451;398.66541;430.70621;412.32847;404.48576;405.96226;431.7373;465.41882;407.64308;416.687;410.50559;439.74099;422.42798;445.22784;487.08401;429.77592;470.46873;443.39849;437.80628;532.98929;2;2;2;3;2
51290209;2;11;2;1;3;9;1;1;1;2;1;1;1;1;2;1;5;2;3;1;2;1;1;1;2;1;1;1;1;1;1;1;1;1;1;2;4;1;2;4;1;3;4;4;3;1;1;2;1;2;1;1;1;1;2;2;1;1;3;1;1;1;3;2;1;1;4;1;3;2;2;1;1;1;1;1;2;2;4;4;10.5;13.492886;0.084602;0;80;533.05066;512.8866;536.2891;539.39164;523.42692;519.85493;561.47255;501.24413;493.88362;470.90064;540.81723;545.55594;520.54046;514.5035;496.58309;544.97301;555.12158;539.00642;502.76594;525.4144;525.23605;555.14304;522.02048;487.47798;543.84689;3;3;3;3;3
51290210;2;5;2;1;4;2;1;1;1;2;1;1;1;2;2;2;5;1;2;1;2;1;2;1;2;1;1;1;1;1;1;1;1;1;1;1;1;1;4;4;1;3;4;4;2;1;1;1;1;1;1;1;1;1;2;1;1;1;3;1;1;1;3;2;1;1;4;1;4;1;1;1;1;1;1;1;1;4;4;4;10.5;13.492886;0.084602;0;80;575.68207;556.37545;555.27591;553.85304;565.32208;557.67127;583.41019;531.15438;570.55876;582.18866;542.01346;590.82751;545.90588;548.34664;597.11392;529.9525;559.98784;539.83822;559.04599;517.25127;575.33411;602.37911;579.17345;579.23735;570.77473;4;4;4;4;4
51290211;1;6;1;1;3;1;1;1;1;2;1;1;1;2;1;1;5;1;1;2;2;1;2;1;4;1;1;1;1;2;1;1;1;1;1;4;4;3;4;3;4;3;3;4;4;2;1;1;1;1;1;1;1;1;4;3;2;3;3;2;2;1;3;2;1;2;1;1;4;2;1;1;1;1;1;1;4;3;4;4;10;13.492886;0.084602;0;80;536.01722;591.20778;543.18824;539.42541;547.26909;571.16092;587.83538;590.06621;581.58092;591.63871;551.363;553.76451;561.76595;594.25886;580.97076;564.43457;513.97514;558.30974;561.83635;555.10317;565.05324;533.95403;563.6911;601.49526;555.53735;3;4;3;3;3
51290212;2;12;2;4;3;1;1;1;1;2;2;1;2;2;1;2;5;2;2;2;2;1;1;1;2;1;1;1;1;2;1;2;1;1;1;3;3;3;3;3;3;3;3;4;4;2;1;1;2;1;1;1;2;1;4;3;2;3;3;1;3;1;2;2;1;3;3;1;4;2;1;3;2;1;1;1;2;4;4;4;10.67;13.492886;0.084602;0;80;589.83181;554.48304;601.31582;601.97212;570.17162;615.39637;636.69983;623.05031;599.48054;583.88842;588.69389;625.05541;579.32717;593.40295;584.72487;597.31739;597.02003;590.08957;635.05337;648.15829;575.98922;556.1866;569.57797;615.40867;629.1467;4;4;4;4;4
